template_id,template,size
1,"nova.osapi_compute.wsgi.server [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] <*><IP>> <*>*> <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",2429
2,nova.compute.manager [<*><REQ_ID>> - - - - -] [instance: <*>*> VM <*>*> (Lifecycle Event),264
3,nova.compute.manager [<*><REQ_ID>> - - - - -] [instance: <*>*> During sync_power_state the instance has a pending task (spawning). Skip.,126
4,nova.virt.libvirt.imagecache [<*><REQ_ID>> - - - - -] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/<*><HASH>>8ac0e742): checking,246
5,"nova.virt.libvirt.imagecache [<*><REQ_ID>> - - - - -] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/<*><HASH>>8ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",246
6,nova.virt.libvirt.imagecache [<*><REQ_ID>> - - - - -] <*>*> base <*>*> /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,426
7,nova.api.openstack.compute.server_external_events [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] Creating event <*>*> for instance <*>*>,66
8,nova.virt.libvirt.driver [-] [instance: <*>*> Instance <*>*> successfully.,132
9,nova.compute.manager [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to <*>*> the instance on the hypervisor.,129
10,nova.compute.manager [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to build instance.,66
11,nova.compute.resource_tracker [<*><REQ_ID>> - - - - -] <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,90
12,nova.compute.resource_tracker [<*><REQ_ID>> - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*>*> phys_disk=15GB <*>*> total_vcpus=16 <*>*> pci_stats=[],45
13,nova.compute.resource_tracker [<*><REQ_ID>> - - - - -] Compute_service record updated for cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us:cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,45
14,"nova.metadata.wsgi.server [<*><REQ_ID>> - - - - -] <*><IP>>,<*><IP>> ""GET <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",357
15,"nova.metadata.wsgi.server [-] <*><IP>>,<*><IP>> ""GET <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",267
16,nova.compute.manager [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Terminating instance,66
17,nova.virt.libvirt.driver [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> <*>*> <*>*> <*>*> <*>*>,126
18,nova.compute.manager [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to deallocate network for instance.,63
19,nova.virt.libvirt.imagecache [<*><REQ_ID>> - - - - -] Removing base or swap file: /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,63
20,nova.api.openstack.wsgi [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] HTTP exception thrown: No instances found for any event,63
21,"nova.compute.claims [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",63
22,nova.compute.claims [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,378
23,nova.compute.claims [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Claim successful,63
24,nova.virt.libvirt.driver [<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Creating image,63
25,nova.compute.manager [-] [instance: <*>*> VM Stopped (Lifecycle Event),63
26,nova.scheduler.host_manager [<*><REQ_ID>> - - - - -] Successfully synced instances from host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us'.,6
27,nova.compute.manager [<*><REQ_ID>> - - - - -] Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,3
28,nova.virt.libvirt.imagecache [<*><REQ_ID>> - - - - -] Base or swap file too young to remove: /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,27
29,nova.scheduler.host_manager [<*><REQ_ID>> - - - - -] The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,15
30,"nova.compute.manager [<*><REQ_ID>> - - - - -] While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",3
31,nova.compute.manager [-] [instance: bf8c824d-f099-4433-a41e-e3da7578262e] During sync_power_state the instance has a pending task (spawning). Skip.,3
32,"[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] <*><IP>> <*>*> <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",809
33,[<*><REQ_ID>> - - - - -] <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,111
34,[<*><REQ_ID>> - - - - -] [instance: <*>*> During sync_power_state the instance has a pending task (spawning). Skip.,42
35,[<*><REQ_ID>> - - - - -] <*>*> <*>*> <*>*> <*>*> <*>*>,97
36,"[<*><REQ_ID>> - - - - -] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/<*><HASH>>8ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",82
37,[<*><REQ_ID>> - - - - -] <*>*> base <*>*> /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,142
38,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,64
39,[-] [instance: <*>*> Instance <*>*> successfully.,44
40,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to <*>*> the instance on the hypervisor.,43
41,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to build instance.,22
42,[<*><REQ_ID>> - - - - -] Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,15
43,"[<*><REQ_ID>> - - - - -] Total usable vcpus: 16, total allocated vcpus: <*>*>",15
44,[<*><REQ_ID>> - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*>*> phys_disk=15GB <*>*> total_vcpus=16 <*>*> pci_stats=[],15
45,"[<*><REQ_ID>> - - - - -] <*><IP>>,<*><IP>> ""GET <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",119
46,"[-] <*><IP>>,<*><IP>> ""GET <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",89
47,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> <*>*> <*>*>,64
48,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to deallocate network for instance.,21
49,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] HTTP exception thrown: No instances found for any event,21
50,"[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",21
51,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,126
52,[-] [instance: <*>*> VM Stopped (Lifecycle Event),21
53,[<*><REQ_ID>> - - - - -] Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from 2017-05-16 05:00:00 to 2017-05-16 06:00:00. 87 instances.,1
54,[<*><REQ_ID>> - - - - -] Base or swap file too young to remove: /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,9
55,[<*><REQ_ID>> - - - - -] The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,5
56,"[<*><REQ_ID>> - - - - -] While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",1
57,[-] [instance: bf8c824d-f099-4433-a41e-e3da7578262e] During sync_power_state the instance has a pending task (spawning). Skip.,1
