template_id,template,size
1,"[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] <*><IP>> <*>*> <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",263584
2,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> <*>*> <*>*>,20842
3,[-] [instance: <*>*> VM Stopped (Lifecycle Event),6954
4,"[<*><REQ_ID>> - - - - -] While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",153
5,[<*><REQ_ID>> - - - - -] <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,36371
6,[<*><REQ_ID>> - - - - -] [instance: <*>*> During sync_power_state the instance has a pending task (spawning). Skip.,13394
7,[<*><REQ_ID>> - - - - -] <*>*> <*>*> <*>*> <*>*> <*>*>,44774
8,"[<*><REQ_ID>> - - - - -] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/<*><HASH>>8ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",39044
9,[<*><REQ_ID>> - - - - -] <*>*> base <*>*> /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,59589
10,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,20835
11,[-] [instance: <*>*> Instance <*>*> successfully.,13895
12,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to <*>*> the instance on the hypervisor.,13895
13,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to build instance.,6951
14,[-] [instance: <*>*> During sync_power_state the instance has a pending task (spawning). Skip.,215
15,"[<*><REQ_ID>> - - - - -] <*><IP>>,<*><IP>> ""GET <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",37716
16,"[-] <*><IP>>,<*><IP>> ""GET <*>*> HTTP/1.1"" status: <*>*> len: <*>*> time: <*>*>",30939
17,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Took <*>*> seconds to deallocate network for instance.,6947
18,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] HTTP exception thrown: No instances found for any event,6944
19,"[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",6947
20,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] [instance: <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*> <*>*>,41682
21,[<*><REQ_ID>> - - - - -] Auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,5730
22,"[<*><REQ_ID>> - - - - -] Total usable vcpus: 16, total allocated vcpus: <*>*>",5730
23,[<*><REQ_ID>> - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB <*>*> phys_disk=15GB <*>*> total_vcpus=16 <*>*> pci_stats=[],5730
24,[<*><REQ_ID>> - - - - -] The instance sync for host 'cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us' did not match. Re-created its InstanceList.,1230
25,[<*><REQ_ID>> - - - - -] Base or swap file too young to remove: /var/lib/nova/instances/_base/<*><HASH>>8ac0e742,3342
26,[<*><REQ_ID>> - - - - -] couldn't obtain the vcpu count from domain id: <*>*> exception: Requested operation is not valid: cpu affinity is not supported,39
27,[<*><REQ_ID>> - - - - -] Running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from <*>*> <*>*> to <*>*> <*>*> <*>*> instances.,99
28,[<*><REQ_ID>> - - - - -] Error during ComputeManager._run_image_cache_manager_pass,25
29,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] Bad response code while validating token: 503,7
30,"[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] Identity response: <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">",7
31,[<*><REQ_ID>> <*><HASH>> <*><HASH>> - - -] Unable to validate token: Failed to fetch token data from identity server,7
