semantic_text,template_ids,occurrences,service
nova-api.log.ts info nova.metadata.wsgi.server - ts get ts http status: ts len: ts time: ts,['13'],649,nova-api
nova-api.log.ts info nova.osapi_compute.wsgi.server ts -ip ts http status: pid len: ts time: ts,"['1', '185']",6,nova-api
nova-api.log.ts info nova.osapi_compute.wsgi.server ts -ip ts http status: ts len: ts time: ts,['192'],3,nova-api
nova-api.log.ts info ts -ts http status: pid len: ts time: ts,"['1', '185']",5,nova-api
nova-api.log.ts info ts -ts http status: ts len: ts time: ts,"['1', '185', '192']",54847,nova-api
nova-api.log.ts pid critical keystonemiddleware.auth_token req_id-id -unable to validate token: failed to fetch token data from identity server,['190'],1,nova-api
nova-api.log.ts pid error keystonemiddleware.auth_token req_id-id -bad response code while validating token: pid,['188'],1,nova-api
nova-api.log.ts pid info nova.api.openstack.compute.server_external_events req_id-id -creating event network-vif-plugged:id for instance id,['9'],1,nova-api
nova-api.log.ts pid info nova.api.openstack.compute.server_external_events ts id -creating event ts for instance ts,['9'],154,nova-api
nova-api.log.ts pid info nova.api.openstack.wsgi req_id-id -http exception thrown: no instances found for any event,['15'],1,nova-api
nova-api.log.ts pid info nova.api.openstack.wsgi ts id -http exception thrown: no instances found for any event,['15'],154,nova-api
nova-api.log.ts pid info nova.metadata.wsgi.server - ipip get /openstack/ts/vendor_data.json http status: pid len: pid time: 0.0009141,['13'],1,nova-api
nova-api.log.ts pid info nova.metadata.wsgi.server - ipip get ts http status: ts len: ts time: ts,['13'],1,nova-api
nova-api.log.ts pid info nova.metadata.wsgi.server - ts get ts http status: ts len: ts time: ts,['13'],1,nova-api
nova-api.log.ts pid info nova.osapi_compute.wsgi.server req_id-id -ip get /v2/id/servers/detail http status: pid len: pid time: 0.1919448,['1'],1,nova-api
nova-api.log.ts pid info nova.osapi_compute.wsgi.server req_id-id -ip get /v2/id/servers/detail http status: pid len: pid time: 0.2477829,['185'],1,nova-api
nova-api.log.ts pid info nova.osapi_compute.wsgi.server req_id-id -ip post /v2/id/servers http status: pid len: pid time: 0.5003779,['192'],1,nova-api
nova-api.log.ts pid info nova.osapi_compute.wsgi.server ts id -ip get /v2/id/servers/detail http status: pid len: pid time: ts,['185'],13,nova-api
nova-api.log.ts pid info nova.osapi_compute.wsgi.server ts id -ip get ts http status: pid len: ts time: ts,['1'],27,nova-api
nova-api.log.ts pid info nova.osapi_compute.wsgi.server ts id -ip ts http status: ts len: ts time: ts,['192'],27,nova-api
nova-api.log.ts pid warning keystonemiddleware.auth_token req_id-id -identity response: doctypehtmlpublic_ietfdtdhtml20en,['189'],1,nova-api
nova-compute.log.ts pid error oslo_service.periodic_task req_id-id -error during computemanager._run_image_cache_manager_pass,['187'],1,nova-compute
nova-compute.log.ts pid info nova.compute.claims req_id-id -instance: id attempting claim: memory pid mb disk 20 gb vcpus 1 cpu,['18'],1,nova-compute
nova-compute.log.ts pid info nova.compute.claims req_id-id -instance: id total memory: pid mb used: pid.00 mb,['19'],1,nova-compute
nova-compute.log.ts pid info nova.compute.claims req_id-id -instance: id ts,['19'],4,nova-compute
nova-compute.log.ts pid info nova.compute.claims req_id-id -instance: id ts mb ts mb,['19'],1,nova-compute
nova-compute.log.ts pid info nova.compute.claims ts id -instance: ts,['19'],924,nova-compute
nova-compute.log.ts pid info nova.compute.claims ts id -instance: ts attempting claim: memory pid mb disk 20 gb vcpus 1 cpu,['18'],154,nova-compute
nova-compute.log.ts pid info nova.compute.manager - instance: id during sync_power_state the instance has a pending task spawning. skip.,['12'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager - instance: id vm stopped lifecycle event,['3'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager - instance: ts during sync_power_state the instance has a pending task spawning. skip.,['12'],3,nova-compute
nova-compute.log.ts pid info nova.compute.manager - instance: ts vm stopped lifecycle event,['3'],155,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,"['6', '22', '23', '25', '26', '27', '29', '30', '31', '32', '34', '35', '36', '37', '38', '39', '40', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '177', '178', '179', '180', '181']",156,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id terminating instance,['183'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id took 0.47 seconds to deallocate network for instance.,['14'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id took 19.66 seconds to spawn the instance on the hypervisor.,['182'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id took 21.38 seconds to build instance.,['11'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id vm started lifecycle event,"['5', '186']",2,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id vm ts lifecycle event,"['5', '186']",6,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from ts to ts instances.,['56'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager req_id-id -running instance usage audit for host cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us from ts to ts. 88 instances.,['56'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager ts -instance: id ts,"['6', '22', '23', '25', '26', '27', '29', '30', '31', '32', '34', '35', '36', '37', '38', '39', '40', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127', '128', '129', '130', '131', '132', '133', '134', '135', '136', '137', '138', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '153', '154', '155', '156', '157', '158', '159', '160', '161', '162', '163', '164', '165', '166', '167', '168', '169', '170', '171', '172', '173', '174', '175', '176', '177', '178', '179', '180']",456,nova-compute
nova-compute.log.ts pid info nova.compute.manager ts id -instance: id took ts seconds to ts the instance on the hypervisor.,['182'],1,nova-compute
nova-compute.log.ts pid info nova.compute.manager ts id -instance: ts took ts seconds to build instance.,['11'],154,nova-compute
nova-compute.log.ts pid info nova.compute.manager ts id -instance: ts took ts seconds to deallocate network for instance.,['14'],154,nova-compute
nova-compute.log.ts pid info nova.compute.manager ts id -instance: ts took ts seconds to ts the instance on the hypervisor.,['182'],81,nova-compute
nova-compute.log.ts pid info nova.compute.resource_tracker req_id-id -auditing locally available compute resources for node cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us,['20'],1,nova-compute
nova-compute.log.ts pid info nova.compute.resource_tracker req_id-id -final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172mb ts phys_disk=15gb ts total_vcpus=16 ts pci_stats=,['21'],100,nova-compute
