semantic_text,template_id,template_ids,occurrences,service,timestamp,timestamp_canonical
nova-api.log.ts info nova.osapi_compute.wsgi.server ts -ip ts http status: pid len: ts time: ts,1,['1'],767035932,nova-api,"['2017-05-14T21:27:04Z', '2017-05-14T21:56:07Z']",2017-05-14T21:41:35Z
nova-compute.log.ts pid info nova.virt.libvirt.driver - instance: id instance spawned successfully.,10,['10'],17056900,nova-compute,"['2017-05-14T21:27:09Z', '2017-05-14T21:56:26Z', '2017-05-16T13:55:31Z', '2017-05-17T12:02:35Z']",2017-05-15T17:55:58Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,100,['100'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,101,['101'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,102,['102'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,103,['103'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,104,['104'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,105,['105'],1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,106,['106'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,107,['107'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,108,['108'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,109,['109'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id took 21.38 seconds to build instance.,11,['11'],4268356,nova-compute,"['2017-05-14T21:27:09Z', '2017-05-14T21:56:26Z', '2017-05-16T13:55:31Z', '2017-05-17T12:02:35Z']",2017-05-15T17:55:58Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,110,['110'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,111,['111'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,112,['112'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,113,['113'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,114,['114'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,115,['115'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,116,['116'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,117,['117'],1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,118,['118'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,119,['119'],3060,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager - instance: id during sync_power_state the instance has a pending task spawning. skip.,12,['12'],4225,nova-compute,"['2017-05-14T21:27:09Z', '2017-05-16T13:55:31Z', '2017-05-17T12:02:35Z']",2017-05-16T13:55:31Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,120,['120'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,121,['121'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,122,['122'],1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,123,['123'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,124,['124'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,125,['125'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,126,['126'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,127,['127'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,128,['128'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,129,['129'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-api.log.ts info nova.metadata.wsgi.server - ts get ts http status: ts len: ts time: ts,13,['13'],84566416,nova-api,"['2017-05-14T21:27:04Z', '2017-05-14T21:56:07Z', '2017-05-16T13:53:08Z', '2017-05-17T12:02:19Z']",2017-05-15T17:54:37Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,130,['130'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,131,['131'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,132,['132'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,133,['133'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,134,['134'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,135,['135'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,136,['136'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,137,['137'],1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,138,['138'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,139,['139'],2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
