template_id,template,occurrences
1,"<*> 2017-05-14 <*> <*> INFO <*> <*> <*> <*> - - -] <*> <*> <*> HTTP/1.1"" status: <*> len: <*> time: <*>",8571
2,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO <*> <*> <*> <*> - - -] <*> <*> <*> <*>,470
3,<*> <*> <*> 2931 INFO nova.compute.manager [-] [instance: <*> VM Stopped (Lifecycle Event),2067
4,"<*> <*> <*> 2931 WARNING nova.compute.manager [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",45
5,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO <*> <*> <*> <*> - - -] [instance: <*> <*> <*> <*> <*>,314
6,nova-compute.log.2017-05-14_21:27:09 2017-05-14 <*> 2931 INFO nova.compute.manager <*> <*> <*> - - -] [instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
7,<*> <*> <*> 2931 INFO <*> [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] <*> <*> <*> <*> <*>,13782
8,"<*> <*> <*> 2931 INFO nova.virt.libvirt.imagecache [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",12043
9,<*> <*> <*> <*> INFO nova.api.openstack.compute.server_external_events <*> f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] Creating event <*> for instance <*>,2065
10,<*> <*> <*> 2931 INFO nova.virt.libvirt.driver [-] [instance: <*> Instance <*> successfully.,4130
11,<*> <*> <*> 2931 INFO nova.compute.manager <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> Took <*> seconds to build instance.,2066
12,<*> <*> <*> 2931 INFO nova.compute.manager [-] [instance: <*> During sync_power_state the instance has a pending task (spawning). Skip.,65
13,"<*> <*> <*> <*> INFO nova.metadata.wsgi.server [-] <*> ""GET <*> HTTP/1.1"" status: <*> len: <*> time: <*>",9196
14,<*> <*> <*> 2931 INFO nova.compute.manager <*> <*> 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> Took <*> seconds to deallocate network for instance.,2065
15,<*> <*> <*> 25746 INFO nova.api.openstack.wsgi <*> f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] HTTP exception thrown: No instances found for any event,2064
16,<*> <*> <*> 2931 <*> nova.virt.libvirt.imagecache [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] <*> base <*> /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,18149
17,<*> 2017-05-14 <*> 2931 INFO <*> <*> - - - - -] <*> <*> <*> <*> <*> <*>,980
18,"<*> <*> <*> 2931 INFO nova.compute.claims <*> 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: <*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",2065
