semantic_text,template_ids,occurrences,service,component,level,timestamp
- instance_id during sync_power_state the instance has a pending task spawning. skip.,25,1,nova.compute,nova.compute.manager,INFO,2017-05-16 00:09:49.599
- instance_id instance successfully.,7,1,nova.virt,nova.virt.libvirt.driver,INFO,"2017-05-16 00:00:10.302, 2017-05-16 00:00:17.754, 2017-05-16 00:00:51.658, 2017-05-16 00:00:59.739, 2017-05-16 00:01:32.992, 2017-05-16 00:01:40.141, 2017-05-16 00:02:14.362, 2017-05-16 00:02:21.879, 2017-05-16 00:02:55.646, 2017-05-16 00:03:03.750, 2017-05-16 00:03:37.002, 2017-05-16 00:03:44.247, 2017-05-16 00:04:18.473, 2017-05-16 00:04:26.173, 2017-05-16 00:05:00.012, 2017-05-16 00:05:08.050, 2017-05-16 00:05:41.236, 2017-05-16 00:05:48.454, 2017-05-16 00:06:22.565, 2017-05-16 00:06:30.173, 2017-05-16 00:07:03.945, 2017-05-16 00:07:11.927, 2017-05-16 00:07:45.253, 2017-05-16 00:07:53.772, 2017-05-16 00:08:26.601, 2017-05-16 00:08:34.059, 2017-05-16 00:09:08.053, 2017-05-16 00:09:16.094, 2017-05-16 00:09:49.429, 2017-05-16 00:09:57.957, 2017-05-16 00:10:30.873, 2017-05-16 00:10:38.153, 2017-05-16 00:11:12.170, 2017-05-16 00:11:19.872, 2017-05-16 00:11:53.482, 2017-05-16 00:12:01.806, 2017-05-16 00:12:34.936, 2017-05-16 00:12:42.178, 2017-05-16 00:13:16.313, 2017-05-16 00:13:23.967, 2017-05-16 00:13:57.756, 2017-05-16 00:14:05.776, 2017-05-16 00:14:39.066, 2017-05-16 00:14:47.663"
- instance_id vm stopped lifecycle event,20,1,nova.compute,nova.compute.manager,INFO,"2017-05-16 00:00:32.974, 2017-05-16 00:01:14.735, 2017-05-16 00:01:55.266, 2017-05-16 00:02:37.163, 2017-05-16 00:03:19.284, 2017-05-16 00:03:59.244, 2017-05-16 00:04:41.170, 2017-05-16 00:05:23.100, 2017-05-16 00:06:03.772, 2017-05-16 00:06:45.169, 2017-05-16 00:07:27.105, 2017-05-16 00:08:08.769, 2017-05-16 00:08:49.186, 2017-05-16 00:09:31.092, 2017-05-16 00:10:12.953, 2017-05-16 00:10:53.150, 2017-05-16 00:11:34.908, 2017-05-16 00:12:16.898, 2017-05-16 00:12:57.370, 2017-05-16 00:13:38.964, 2017-05-16 00:14:21.038"
- ipip get http/1.1 status: len: time:,12,1,nova.metadata,nova.metadata.wsgi.server,INFO,"2017-05-16 00:00:16.806, 2017-05-16 00:00:17.531, 2017-05-16 00:00:58.189, 2017-05-16 00:00:58.445, 2017-05-16 00:00:59.114, 2017-05-16 00:00:59.130, 2017-05-16 00:00:59.145, 2017-05-16 00:00:59.157, 2017-05-16 00:00:59.172, 2017-05-16 00:01:39.821, 2017-05-16 00:01:39.835, 2017-05-16 00:01:39.847, 2017-05-16 00:03:01.929, 2017-05-16 00:03:02.262, 2017-05-16 00:03:02.276, 2017-05-16 00:03:02.587, 2017-05-16 00:03:02.678, 2017-05-16 00:03:03.110, 2017-05-16 00:05:06.641, 2017-05-16 00:05:06.898, 2017-05-16 00:05:07.244, 2017-05-16 00:05:07.601, 2017-05-16 00:05:07.614, 2017-05-16 00:05:47.502, 2017-05-16 00:05:47.743, 2017-05-16 00:06:29.844, 2017-05-16 00:06:29.860, 2017-05-16 00:07:10.305, 2017-05-16 00:07:10.551, 2017-05-16 00:07:10.563, 2017-05-16 00:07:10.578, 2017-05-16 00:07:11.032, 2017-05-16 00:07:11.285, 2017-05-16 00:07:11.298, 2017-05-16 00:07:11.311, 2017-05-16 00:07:11.324, 2017-05-16 00:07:11.335, 2017-05-16 00:07:11.346, 2017-05-16 00:07:11.358, 2017-05-16 00:07:11.370, 2017-05-16 00:07:11.382, 2017-05-16 00:07:11.718, 2017-05-16 00:07:52.253, 2017-05-16 00:07:52.494, 2017-05-16 00:08:33.394, 2017-05-16 00:09:14.932, 2017-05-16 00:09:15.022, 2017-05-16 00:09:15.035, 2017-05-16 00:09:15.287, 2017-05-16 00:09:15.549, 2017-05-16 00:09:15.642, 2017-05-16 00:09:15.655, 2017-05-16 00:09:15.667, 2017-05-16 00:09:15.679, 2017-05-16 00:09:55.825, 2017-05-16 00:09:56.679, 2017-05-16 00:09:57.013, 2017-05-16 00:09:57.351, 2017-05-16 00:09:57.616, 2017-05-16 00:10:37.231, 2017-05-16 00:10:37.239, 2017-05-16 00:10:37.806, 2017-05-16 00:10:37.817, 2017-05-16 00:11:18.689, 2017-05-16 00:11:19.182, 2017-05-16 00:11:59.826, 2017-05-16 00:11:59.914, 2017-05-16 00:12:00.236, 2017-05-16 00:12:00.563, 2017-05-16 00:12:00.579, 2017-05-16 00:12:01.458, 2017-05-16 00:12:01.471, 2017-05-16 00:12:01.483, 2017-05-16 00:12:01.495, 2017-05-16 00:12:01.507, 2017-05-16 00:12:01.519, 2017-05-16 00:12:41.809, 2017-05-16 00:12:41.818, 2017-05-16 00:12:41.834, 2017-05-16 00:13:22.695, 2017-05-16 00:13:23.262, 2017-05-16 00:13:23.274, 2017-05-16 00:13:23.367, 2017-05-16 00:14:04.140, 2017-05-16 00:14:04.701, 2017-05-16 00:14:45.462, 2017-05-16 00:14:46.317, 2017-05-16 00:14:46.951, 2017-05-16 00:14:47.215"
req_id - - - - -,"2, 10, 16",3,"nova.compute, nova.virt, nova.scheduler","nova.compute.manager, nova.virt.libvirt.imagecache, nova.compute.resource_tracker, nova.scheduler.host_manager",INFO,"2017-05-16 00:00:04.500, 2017-05-16 00:00:04.562, 2017-05-16 00:00:05.185, 2017-05-16 00:00:10.296, 2017-05-16 00:00:10.417, 2017-05-16 00:00:10.421, 2017-05-16 00:00:14.329, 2017-05-16 00:00:15.141, 2017-05-16 00:00:44.514, 2017-05-16 00:00:44.582, 2017-05-16 00:00:45.249, 2017-05-16 00:00:50.142, 2017-05-16 00:00:51.650, 2017-05-16 00:00:51.771, 2017-05-16 00:00:55.377, 2017-05-16 00:01:13.632, 2017-05-16 00:01:25.141, 2017-05-16 00:01:26.460, 2017-05-16 00:01:26.524, 2017-05-16 00:01:30.142, 2017-05-16 00:01:32.985, 2017-05-16 00:01:33.105, 2017-05-16 00:01:35.147, 2017-05-16 00:01:40.382, 2017-05-16 00:02:05.159, 2017-05-16 00:02:07.339, 2017-05-16 00:02:07.403, 2017-05-16 00:02:10.413, 2017-05-16 00:02:14.351, 2017-05-16 00:02:14.477, 2017-05-16 00:02:14.775, 2017-05-16 00:02:15.138, 2017-05-16 00:02:20.366, 2017-05-16 00:02:48.985, 2017-05-16 00:02:49.156, 2017-05-16 00:02:50.202, 2017-05-16 00:02:55.541, 2017-05-16 00:02:55.637, 2017-05-16 00:02:55.757, 2017-05-16 00:03:00.138, 2017-05-16 00:03:05.181, 2017-05-16 00:03:16.676, 2017-05-16 00:03:30.161, 2017-05-16 00:03:31.011, 2017-05-16 00:03:31.081, 2017-05-16 00:03:35.416, 2017-05-16 00:03:36.996, 2017-05-16 00:03:37.115, 2017-05-16 00:03:40.655, 2017-05-16 00:03:45.162, 2017-05-16 00:04:10.190, 2017-05-16 00:04:11.255, 2017-05-16 00:04:11.320, 2017-05-16 00:04:15.177, 2017-05-16 00:04:18.012, 2017-05-16 00:04:18.462, 2017-05-16 00:04:18.582, 2017-05-16 00:04:20.141, 2017-05-16 00:04:25.389, 2017-05-16 00:04:50.198, 2017-05-16 00:04:52.697, 2017-05-16 00:04:52.767, 2017-05-16 00:04:55.435, 2017-05-16 00:05:00.004, 2017-05-16 00:05:00.120, 2017-05-16 00:05:00.144, 2017-05-16 00:05:05.133, 2017-05-16 00:05:17.558, 2017-05-16 00:05:34.911, 2017-05-16 00:05:34.979, 2017-05-16 00:05:35.188, 2017-05-16 00:05:40.144, 2017-05-16 00:05:41.229, 2017-05-16 00:05:41.352, 2017-05-16 00:05:45.383, 2017-05-16 00:06:15.172, 2017-05-16 00:06:15.870, 2017-05-16 00:06:15.931, 2017-05-16 00:06:18.159, 2017-05-16 00:06:20.134, 2017-05-16 00:06:22.558, 2017-05-16 00:06:22.690, 2017-05-16 00:06:25.372, 2017-05-16 00:06:30.140, 2017-05-16 00:06:55.195, 2017-05-16 00:06:56.714, 2017-05-16 00:06:56.781, 2017-05-16 00:07:00.468, 2017-05-16 00:07:03.936, 2017-05-16 00:07:04.066, 2017-05-16 00:07:05.153, 2017-05-16 00:07:10.380, 2017-05-16 00:07:17.567, 2017-05-16 00:07:39.377, 2017-05-16 00:07:39.443, 2017-05-16 00:07:40.137, 2017-05-16 00:07:45.243, 2017-05-16 00:07:45.371, 2017-05-16 00:07:45.415, 2017-05-16 00:07:50.141, 2017-05-16 00:08:18.616, 2017-05-16 00:08:20.180, 2017-05-16 00:08:20.238, 2017-05-16 00:08:20.330, 2017-05-16 00:08:25.426, 2017-05-16 00:08:26.594, 2017-05-16 00:08:26.714, 2017-05-16 00:08:30.367, 2017-05-16 00:08:35.145, 2017-05-16 00:09:00.178, 2017-05-16 00:09:01.018, 2017-05-16 00:09:01.081, 2017-05-16 00:09:05.140, 2017-05-16 00:09:08.044, 2017-05-16 00:09:08.163, 2017-05-16 00:09:10.135, 2017-05-16 00:09:15.370, 2017-05-16 00:09:19.850, 2017-05-16 00:09:40.189, 2017-05-16 00:09:43.328, 2017-05-16 00:09:43.389, 2017-05-16 00:09:45.140, 2017-05-16 00:09:49.420, 2017-05-16 00:09:49.541, 2017-05-16 00:09:50.369, 2017-05-16 00:09:55.140, 2017-05-16 00:10:21.731, 2017-05-16 00:10:24.241, 2017-05-16 00:10:24.304, 2017-05-16 00:10:25.181, 2017-05-16 00:10:30.420, 2017-05-16 00:10:30.861, 2017-05-16 00:10:30.994, 2017-05-16 00:10:35.137, 2017-05-16 00:11:04.923, 2017-05-16 00:11:04.991, 2017-05-16 00:11:05.170, 2017-05-16 00:11:10.144, 2017-05-16 00:11:12.162, 2017-05-16 00:11:12.402, 2017-05-16 00:11:15.392, 2017-05-16 00:11:20.629, 2017-05-16 00:11:23.489, 2017-05-16 00:11:45.170, 2017-05-16 00:11:46.681, 2017-05-16 00:11:46.754, 2017-05-16 00:11:50.413, 2017-05-16 00:11:53.469, 2017-05-16 00:11:53.592, 2017-05-16 00:11:55.140, 2017-05-16 00:12:00.381, 2017-05-16 00:12:25.695, 2017-05-16 00:12:25.745, 2017-05-16 00:12:28.718, 2017-05-16 00:12:28.783, 2017-05-16 00:12:30.980, 2017-05-16 00:12:34.930, 2017-05-16 00:12:35.072, 2017-05-16 00:12:35.134, 2017-05-16 00:12:40.144, 2017-05-16 00:13:09.118, 2017-05-16 00:13:09.185, 2017-05-16 00:13:10.137, 2017-05-16 00:13:15.386, 2017-05-16 00:13:16.304, 2017-05-16 00:13:16.425, 2017-05-16 00:13:20.613, 2017-05-16 00:13:25.591, 2017-05-16 00:13:50.258, 2017-05-16 00:13:50.667, 2017-05-16 00:13:50.738, 2017-05-16 00:13:55.140, 2017-05-16 00:13:57.747, 2017-05-16 00:13:57.865, 2017-05-16 00:14:00.166, 2017-05-16 00:14:05.394, 2017-05-16 00:14:25.518, 2017-05-16 00:14:30.676, 2017-05-16 00:14:33.197, 2017-05-16 00:14:33.266, 2017-05-16 00:14:35.138, 2017-05-16 00:14:39.059, 2017-05-16 00:14:39.179, 2017-05-16 00:14:40.141, 2017-05-16 00:14:45.369, 2017-05-16 00:00:13.658, 2017-05-16 00:00:14.265, 2017-05-16 00:01:13.179, 2017-05-16 00:01:13.569, 2017-05-16 00:02:14.170, 2017-05-16 00:02:14.720, 2017-05-16 00:03:16.161, 2017-05-16 00:03:16.610, 2017-05-16 00:04:17.372, 2017-05-16 00:04:17.948, 2017-05-16 00:05:17.156, 2017-05-16 00:05:17.499, 2017-05-16 00:06:17.556, 2017-05-16 00:06:18.101, 2017-05-16 00:07:17.165, 2017-05-16 00:07:17.507, 2017-05-16 00:08:18.146, 2017-05-16 00:08:18.553, 2017-05-16 00:09:19.471, 2017-05-16 00:09:19.788, 2017-05-16 00:10:21.237, 2017-05-16 00:10:21.670, 2017-05-16 00:11:23.127, 2017-05-16 00:11:23.428, 2017-05-16 00:12:25.165, 2017-05-16 00:12:25.615, 2017-05-16 00:13:25.175, 2017-05-16 00:13:25.532, 2017-05-16 00:14:25.130, 2017-05-16 00:14:25.456, 2017-05-16 00:00:20.349, 2017-05-16 00:00:57.129, 2017-05-16 00:01:01.700, 2017-05-16 00:01:50.152, 2017-05-16 00:02:30.118, 2017-05-16 00:02:58.484, 2017-05-16 00:03:10.320, 2017-05-16 00:03:50.302, 2017-05-16 00:04:35.145, 2017-05-16 00:05:10.339, 2017-05-16 00:05:55.147, 2017-05-16 00:06:35.370, 2017-05-16 00:07:15.584, 2017-05-16 00:07:55.338, 2017-05-16 00:08:40.278, 2017-05-16 00:09:25.182, 2017-05-16 00:10:00.350, 2017-05-16 00:10:40.352, 2017-05-16 00:11:30.181, 2017-05-16 00:12:10.119, 2017-05-16 00:12:45.354, 2017-05-16 00:13:30.652, 2017-05-16 00:14:15.169"
req_id - - - - - base /var/lib/nova/instances/_base/,5,1,nova.virt,nova.virt.libvirt.imagecache,"INFO, WARNING","2017-05-16 00:00:05.367, 2017-05-16 00:00:10.600, 2017-05-16 00:00:15.318, 2017-05-16 00:00:20.345, 2017-05-16 00:00:20.346, 2017-05-16 00:00:45.444, 2017-05-16 00:00:50.321, 2017-05-16 00:00:55.557, 2017-05-16 00:01:01.698, 2017-05-16 00:01:01.699, 2017-05-16 00:01:25.331, 2017-05-16 00:01:30.319, 2017-05-16 00:01:35.325, 2017-05-16 00:01:40.597, 2017-05-16 00:01:45.116, 2017-05-16 00:01:45.117, 2017-05-16 00:01:50.149, 2017-05-16 00:01:50.150, 2017-05-16 00:02:05.358, 2017-05-16 00:02:10.601, 2017-05-16 00:02:15.307, 2017-05-16 00:02:20.549, 2017-05-16 00:02:25.118, 2017-05-16 00:02:25.119, 2017-05-16 00:02:30.114, 2017-05-16 00:02:30.115, 2017-05-16 00:02:50.381, 2017-05-16 00:02:55.733, 2017-05-16 00:03:00.303, 2017-05-16 00:03:05.287, 2017-05-16 00:03:10.318, 2017-05-16 00:03:10.319, 2017-05-16 00:03:30.357, 2017-05-16 00:03:35.602, 2017-05-16 00:03:40.829, 2017-05-16 00:03:45.270, 2017-05-16 00:03:50.300, 2017-05-16 00:03:50.301, 2017-05-16 00:04:10.371, 2017-05-16 00:04:15.363, 2017-05-16 00:04:20.332, 2017-05-16 00:04:25.577, 2017-05-16 00:04:30.114, 2017-05-16 00:04:30.115, 2017-05-16 00:04:35.143, 2017-05-16 00:04:35.144, 2017-05-16 00:04:50.385, 2017-05-16 00:04:55.615, 2017-05-16 00:05:00.323, 2017-05-16 00:05:05.309, 2017-05-16 00:05:10.337, 2017-05-16 00:05:10.338, 2017-05-16 00:05:35.374, 2017-05-16 00:05:40.330, 2017-05-16 00:05:45.547, 2017-05-16 00:05:50.114, 2017-05-16 00:05:50.115, 2017-05-16 00:05:55.145, 2017-05-16 00:05:55.146, 2017-05-16 00:06:15.356, 2017-05-16 00:06:20.320, 2017-05-16 00:06:25.549, 2017-05-16 00:06:30.334, 2017-05-16 00:06:35.367, 2017-05-16 00:06:35.368, 2017-05-16 00:06:55.380, 2017-05-16 00:07:00.640, 2017-05-16 00:07:05.324, 2017-05-16 00:07:10.556, 2017-05-16 00:07:15.581, 2017-05-16 00:07:15.582, 2017-05-16 00:07:40.314, 2017-05-16 00:07:45.547, 2017-05-16 00:07:50.311, 2017-05-16 00:07:55.337, 2017-05-16 00:08:20.372, 2017-05-16 00:08:25.599, 2017-05-16 00:08:30.547, 2017-05-16 00:08:35.247, 2017-05-16 00:08:40.276, 2017-05-16 00:08:40.277, 2017-05-16 00:09:00.355, 2017-05-16 00:09:05.321, 2017-05-16 00:09:10.315, 2017-05-16 00:09:15.546, 2017-05-16 00:09:20.112, 2017-05-16 00:09:20.113, 2017-05-16 00:09:25.180, 2017-05-16 00:09:25.181, 2017-05-16 00:09:40.367, 2017-05-16 00:09:45.319, 2017-05-16 00:09:50.539, 2017-05-16 00:09:55.323, 2017-05-16 00:10:00.349, 2017-05-16 00:10:25.366, 2017-05-16 00:10:30.615, 2017-05-16 00:10:35.319, 2017-05-16 00:10:40.350, 2017-05-16 00:10:40.351, 2017-05-16 00:11:05.360, 2017-05-16 00:11:10.339, 2017-05-16 00:11:15.571, 2017-05-16 00:11:20.732, 2017-05-16 00:11:25.147, 2017-05-16 00:11:25.148, 2017-05-16 00:11:30.178, 2017-05-16 00:11:30.179, 2017-05-16 00:11:45.359, 2017-05-16 00:11:50.595, 2017-05-16 00:11:55.326, 2017-05-16 00:12:00.581, 2017-05-16 00:12:05.112, 2017-05-16 00:12:10.117, 2017-05-16 00:12:10.118, 2017-05-16 00:12:25.927, 2017-05-16 00:12:31.174, 2017-05-16 00:12:35.306, 2017-05-16 00:12:40.325, 2017-05-16 00:12:45.352, 2017-05-16 00:12:45.353, 2017-05-16 00:13:10.327, 2017-05-16 00:13:15.561, 2017-05-16 00:13:20.778, 2017-05-16 00:13:25.620, 2017-05-16 00:13:25.621, 2017-05-16 00:13:30.649, 2017-05-16 00:13:30.650, 2017-05-16 00:13:50.443, 2017-05-16 00:13:55.325, 2017-05-16 00:14:00.340, 2017-05-16 00:14:05.577, 2017-05-16 00:14:10.137, 2017-05-16 00:14:10.138, 2017-05-16 00:14:15.167, 2017-05-16 00:14:15.168, 2017-05-16 00:14:30.866, 2017-05-16 00:14:35.319, 2017-05-16 00:14:40.322, 2017-05-16 00:14:45.546"
req_id - - - - - base or swap file too young to remove: /var/lib/nova/instances/_base/,22,1,nova.virt,nova.virt.libvirt.imagecache,INFO,"2017-05-16 00:01:45.119, 2017-05-16 00:02:25.120, 2017-05-16 00:04:30.117, 2017-05-16 00:05:50.116, 2017-05-16 00:09:20.114, 2017-05-16 00:11:25.148, 2017-05-16 00:12:05.113, 2017-05-16 00:13:25.622, 2017-05-16 00:14:10.139"
req_id - - - - - final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172mb phys_disk=15gb total_vcpus=16 pci_stats=,11,1,nova.compute,nova.compute.resource_tracker,INFO,"2017-05-16 00:00:14.266, 2017-05-16 00:01:13.570, 2017-05-16 00:02:14.720, 2017-05-16 00:03:16.611, 2017-05-16 00:04:17.949, 2017-05-16 00:05:17.499, 2017-05-16 00:06:18.102, 2017-05-16 00:07:17.508, 2017-05-16 00:08:18.554, 2017-05-16 00:09:19.789, 2017-05-16 00:10:21.671, 2017-05-16 00:11:23.429, 2017-05-16 00:12:25.616, 2017-05-16 00:13:25.533, 2017-05-16 00:14:25.457"
req_id - - - - - image at /var/lib/nova/instances/_base/: in use: on this node 1 local 0 on other nodes sharing this instance storage,4,1,nova.virt,nova.virt.libvirt.imagecache,INFO,"2017-05-16 00:00:05.186, 2017-05-16 00:00:10.424, 2017-05-16 00:00:15.142, 2017-05-16 00:00:45.250, 2017-05-16 00:00:50.143, 2017-05-16 00:00:55.378, 2017-05-16 00:01:25.142, 2017-05-16 00:01:30.142, 2017-05-16 00:01:35.148, 2017-05-16 00:01:40.383, 2017-05-16 00:02:05.160, 2017-05-16 00:02:10.414, 2017-05-16 00:02:15.139, 2017-05-16 00:02:20.367, 2017-05-16 00:02:50.203, 2017-05-16 00:02:55.542, 2017-05-16 00:03:00.139, 2017-05-16 00:03:05.182, 2017-05-16 00:03:30.162, 2017-05-16 00:03:35.417, 2017-05-16 00:03:40.656, 2017-05-16 00:03:45.163, 2017-05-16 00:04:10.190, 2017-05-16 00:04:15.178, 2017-05-16 00:04:20.142, 2017-05-16 00:04:25.389, 2017-05-16 00:04:50.200, 2017-05-16 00:04:55.436, 2017-05-16 00:05:00.146, 2017-05-16 00:05:05.134, 2017-05-16 00:05:35.189, 2017-05-16 00:05:40.145, 2017-05-16 00:05:45.384, 2017-05-16 00:06:15.173, 2017-05-16 00:06:20.135, 2017-05-16 00:06:25.373, 2017-05-16 00:06:30.141, 2017-05-16 00:06:55.196, 2017-05-16 00:07:00.469, 2017-05-16 00:07:05.154, 2017-05-16 00:07:10.381, 2017-05-16 00:07:40.138, 2017-05-16 00:07:45.372, 2017-05-16 00:07:50.142, 2017-05-16 00:08:20.182, 2017-05-16 00:08:25.427, 2017-05-16 00:08:30.369, 2017-05-16 00:08:35.146, 2017-05-16 00:09:00.179, 2017-05-16 00:09:05.140, 2017-05-16 00:09:10.137, 2017-05-16 00:09:15.371, 2017-05-16 00:09:40.190, 2017-05-16 00:09:45.141, 2017-05-16 00:09:50.370, 2017-05-16 00:09:55.141, 2017-05-16 00:10:25.182, 2017-05-16 00:10:30.421, 2017-05-16 00:10:35.138, 2017-05-16 00:11:05.172, 2017-05-16 00:11:10.145, 2017-05-16 00:11:15.393, 2017-05-16 00:11:20.630, 2017-05-16 00:11:45.171, 2017-05-16 00:11:50.414, 2017-05-16 00:11:55.141, 2017-05-16 00:12:00.382, 2017-05-16 00:12:25.745, 2017-05-16 00:12:30.981, 2017-05-16 00:12:35.135, 2017-05-16 00:12:40.145, 2017-05-16 00:13:10.138, 2017-05-16 00:13:15.387, 2017-05-16 00:13:20.614, 2017-05-16 00:13:50.259, 2017-05-16 00:13:55.141, 2017-05-16 00:14:00.167, 2017-05-16 00:14:05.395, 2017-05-16 00:14:30.678, 2017-05-16 00:14:35.139, 2017-05-16 00:14:40.142, 2017-05-16 00:14:45.370"
req_id - - - - - instance_id during sync_power_state the instance has a pending task spawning. skip.,3,1,nova.compute,nova.compute.manager,INFO,"2017-05-16 00:00:04.693, 2017-05-16 00:00:10.416, 2017-05-16 00:00:44.697, 2017-05-16 00:00:51.770, 2017-05-16 00:01:26.643, 2017-05-16 00:01:33.103, 2017-05-16 00:02:07.518, 2017-05-16 00:02:14.476, 2017-05-16 00:02:49.290, 2017-05-16 00:02:55.757, 2017-05-16 00:03:31.202, 2017-05-16 00:03:37.113, 2017-05-16 00:04:11.456, 2017-05-16 00:04:18.581, 2017-05-16 00:04:52.893, 2017-05-16 00:05:00.119, 2017-05-16 00:05:35.105, 2017-05-16 00:05:41.351, 2017-05-16 00:06:16.048, 2017-05-16 00:06:22.689, 2017-05-16 00:06:56.905, 2017-05-16 00:07:04.064, 2017-05-16 00:07:39.561, 2017-05-16 00:08:20.455, 2017-05-16 00:08:26.713, 2017-05-16 00:09:01.203, 2017-05-16 00:09:08.161, 2017-05-16 00:09:43.627, 2017-05-16 00:09:49.540, 2017-05-16 00:10:24.423, 2017-05-16 00:10:30.993, 2017-05-16 00:11:05.111, 2017-05-16 00:11:46.882, 2017-05-16 00:11:53.591, 2017-05-16 00:12:28.906, 2017-05-16 00:12:35.071, 2017-05-16 00:13:09.307, 2017-05-16 00:13:16.424, 2017-05-16 00:13:50.867, 2017-05-16 00:13:57.863, 2017-05-16 00:14:33.392, 2017-05-16 00:14:39.178"
